Block,Transect,Sequence,Donor,Recipient,Replicated,Plant_ID,FitP,Rep_FitP,any_FitP,F_plant,F_multi,F_plant_notes,Germ_Date,Sow_Date,Fl_3.10,Fl_3.16,Fl_3.24,Fl_3.31,Fl_4.7,Fl_4.14,Fl_4.20,Fl_4.26,Fl_5.4,Fl_5.11,Fl_5.20,Fl_5.24,LEAF,flr_P,closed_fruits_F,open_fruits_F,damaged_fruits_F,total_fruits_F,nonfitness_fruits,seed_ct,mean_seeds_per_fruit,total_est_seed_production,FFD,days_germ2flower,days_sow2flower,LFD,fl_duration,surv_to_germ,surv_to_flower,surv_to_fruitprod,surv_to_seedprod
1,1,36,HR_059,HR_011,n,8,TRUE,FALSE,TRUE,8,8,NA,2021-12-06,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-07,11,0,0,11,0,16,1.4545454545454546,16,2022-04-07,122,139,2022-04-26,19,1,1,1,1
1,1,37,HR_095,HR_178,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-06,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,NA,NA,NA,NA,2022-04-07,10,7,0,17,0,11,1.1,18.700000000000003,2022-04-07,122,139,2022-05-05,28,1,1,1,1
1,1,38,HR_155,HR_047,n,2,TRUE,FALSE,TRUE,2,2,NA,2021-11-19,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-07,9,0,0,9,0,8,0.8888888888888888,8,2022-04-07,139,139,2022-04-26,19,1,1,1,1
1,1,39,HR_070,HR_123,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-06,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-14,8,2,0,10,0,4,0.5,5,2022-04-07,122,139,2022-04-26,19,1,1,1,1
1,1,40,HR_053,HR_092,n,1,TRUE,FALSE,TRUE,1,1,NA,2021-12-06,2021-11-19,NA,NA,NA,NA,NA,2022-04-14,2022-04-20,2022-04-26,2022-05-05,NA,NA,NA,NA,2022-04-14,9,0,0,9,0,1,0.1111111111111111,1,2022-04-14,129,146,2022-05-05,21,1,1,1,1
1,1,41,HR_110,HR_039,n,1,TRUE,FALSE,TRUE,1,1,NA,2021-12-06,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-07,5,0,0,5,0,7,1.4,7,2022-04-07,122,139,2022-04-26,19,1,1,1,1
1,1,42,HR_160,HR_173,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-06,2021-11-19,NA,NA,NA,NA,NA,2022-04-14,NA,2022-04-26,NA,NA,NA,NA,NA,2022-04-14,1,0,0,1,0,0,0,0,2022-04-14,129,146,2022-04-26,12,1,1,1,0
1,1,43,HR_189,HR_018,n,8,TRUE,FALSE,TRUE,8,8,NA,2021-12-17,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-07,0,0,0,0,0,NA,0,0,2022-04-07,111,139,2022-04-26,19,1,1,0,0
1,1,44,HR_115,HR_026,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-06,2021-11-19,NA,NA,NA,NA,NA,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,NA,3,0,0,3,0,1,0.3333333333333333,1,2022-04-14,129,146,2022-04-20,6,1,1,1,1
1,1,45,HR_110,HR_037,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-11-19,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,NA,NA,NA,NA,2022-04-14,8,0,0,8,0,11,1.375,11,2022-04-07,139,139,2022-05-05,28,1,1,1,1
1,1,46,HR_006,HR_162,R,2,TRUE,TRUE,TRUE,2,"5,2,8",NA,2021-12-06,2021-11-19,NA,NA,NA,NA,NA,2022-04-14,2022-04-20,2022-04-26,2022-05-05,NA,NA,NA,NA,2022-04-14,10,0,0,10,10,0,0,0,2022-04-14,129,146,2022-05-05,21,1,1,1,0
1,2,47,HR_100,HR_195,n,3,TRUE,FALSE,TRUE,3,3,NA,2021-11-19,2021-11-19,NA,NA,NA,NA,NA,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-04-14,7,1,0,8,4,11,1.5714285714285714,12.571428571428571,2022-04-14,146,146,2022-04-20,6,1,1,1,1
1,2,48,HR_088,HR_014,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-06,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-03-31,0,0,0,0,0,NA,0,0,2022-03-31,115,132,2022-04-20,20,1,1,0,0
1,2,49,HR_148,HR_050,n,1,TRUE,FALSE,TRUE,1,1,NA,2021-11-19,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,NA,NA,NA,NA,NA,NA,NA,2022-03-24,11,1,0,12,5,14,1.2727272727272727,15.272727272727273,2022-03-24,125,125,2022-04-14,21,1,1,1,1
1,2,50,HR_175,HR_027,n,8,TRUE,FALSE,TRUE,8,8,NA,2021-12-06,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-03-24,0,0,0,0,0,NA,0,0,2022-03-24,108,125,2022-04-20,27,1,1,0,0
1,2,51,HR_157,HR_085,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-06,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-03-24,30,5,0,35,12,42,1.4,49,2022-03-24,108,125,2022-04-26,33,1,1,1,1
1,2,52,HR_141,HR_015,R,6,TRUE,TRUE,TRUE,6,"6,3,7",NA,2021-12-06,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-03-31,5,7,0,12,0,5,1,12,2022-03-31,115,132,2022-04-26,26,1,1,1,1
1,2,53,HR_034,HR_112,R,3,TRUE,TRUE,TRUE,3,"5,3,7",NA,2021-12-06,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-03-31,31,4,0,35,0,67,2.161290322580645,75.64516129032258,2022-03-24,108,125,2022-04-26,33,1,1,1,1
1,2,54,HR_005,HR_149,R,1,TRUE,TRUE,TRUE,1,"1,2,4",NA,2021-12-06,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,NA,NA,NA,NA,2022-04-07,29,0,0,29,0,5,0.1724137931034483,5,2022-04-07,122,139,2022-05-05,28,1,1,1,1
1,2,55,HR_027,HR_119,R,5,TRUE,TRUE,TRUE,5,"1,5,8",NA,2021-12-06,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-03-24,14,1,0,15,0,29,2.0714285714285716,31.071428571428573,2022-03-24,108,125,2022-04-20,27,1,1,1,1
1,2,56,HR_085,HR_107,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-11-19,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,NA,NA,NA,NA,2022-03-31,18,0,0,18,1,15,0.8333333333333334,15,2022-03-31,132,132,2022-05-05,35,1,1,1,1
1,2,57,HR_133,HR_072,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-12-06,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-03-31,19,0,0,19,10,20,1.0526315789473684,20,2022-03-24,108,125,2022-04-26,33,1,1,1,1
1,2,58,HR_133,HR_161,n,8,TRUE,FALSE,TRUE,8,8,NA,2021-12-06,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-03-24,21,2,0,23,6,63,3,69,2022-03-24,108,125,2022-04-26,33,1,1,1,1
1,2,59,HR_085,HR_035,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-06,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-03-31,6,0,0,6,4,4,0.6666666666666666,4,2022-03-24,108,125,2022-04-20,27,1,1,1,1
1,2,60,HR_090,HR_126,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-12-17,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-03-24,21,0,0,21,0,36,1.7142857142857142,36,2022-03-24,97,125,2022-04-26,33,1,1,1,1
1,2,61,HR_053,HR_169,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-06,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-03-24,44,5,0,49,0,70,1.5909090909090908,77.95454545454545,2022-03-24,108,125,2022-04-26,33,1,1,1,1
1,2,62,HR_125,HR_034,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-06,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-03-31,22,6,0,28,1,36,1.6363636363636365,45.81818181818182,2022-03-31,115,132,2022-04-26,26,1,1,1,1
1,2,63,HR_164,HR_201,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-06,2021-11-19,NA,NA,NA,2022-03-31,NA,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-03-31,13,3,0,16,6,21,1.6153846153846154,25.846153846153847,2022-03-31,115,132,2022-04-20,20,1,1,1,1
1,2,64,HR_034,HR_080,R,1,TRUE,TRUE,TRUE,1,"1,5,6",NA,2021-12-06,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,NA,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-07,11,0,0,11,0,11,1,11,2022-03-31,115,132,2022-04-26,26,1,1,1,1
1,2,65,HR_155,HR_121,n,1,TRUE,FALSE,TRUE,1,1,NA,2021-12-06,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-03-31,8,0,0,8,0,7,0.875,7,2022-03-31,115,132,2022-04-20,20,1,1,1,1
1,2,66,HR_168,HR_101,R,3,TRUE,TRUE,TRUE,3,"6,3,4",NA,2021-12-06,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-04-07,7,2,0,9,7,13,1.8571428571428572,16.714285714285715,2022-04-07,122,139,2022-04-20,13,1,1,1,1
1,2,67,HR_053,HR_038,n,8,TRUE,FALSE,TRUE,8,8,NA,2021-12-06,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-03-31,12,5,0,17,0,8,0.6666666666666666,11.333333333333332,2022-03-31,115,132,2022-04-20,20,1,1,1,1
1,2,68,HR_005,HR_180,R,6,TRUE,TRUE,TRUE,6,"2,6,7",NA,2021-12-06,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-04-07,5,0,0,5,0,8,1.6,8,2022-04-07,122,139,2022-04-20,13,1,1,1,1
1,2,69,HR_139,HR_129,n,1,TRUE,FALSE,TRUE,1,1,NA,2021-12-06,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,NA,NA,NA,NA,NA,NA,NA,2022-04-07,5,0,0,5,2,4,0.8,4,2022-04-07,122,139,2022-04-14,7,1,1,1,1
1,2,70,HR_157,HR_088,n,8,TRUE,FALSE,TRUE,8,8,NA,2021-12-06,2021-11-19,NA,NA,NA,NA,2022-04-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,2,1,2,2,4,2022-04-07,122,139,2022-04-07,0,1,1,1,1
1,2,71,HR_006,HR_142,R,4,TRUE,TRUE,TRUE,4,"1,3,4",NA,2021-12-06,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-26,3,0,0,3,0,0,0,0,2022-04-07,122,139,2022-04-26,19,1,1,1,0
1,2,72,HR_200,HR_153,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-11-19,2021-11-19,NA,NA,NA,NA,2022-04-07,NA,2022-04-20,NA,NA,NA,NA,NA,NA,2022-04-07,2,0,0,2,5,2,1,2,2022-04-07,139,139,2022-04-20,13,1,1,1,1
1,2,73,HR_125,HR_086,n,1,TRUE,FALSE,TRUE,1,1,NA,2021-12-06,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-07,2,2,0,4,3,2,1,4,2022-04-07,122,139,2022-04-26,19,1,1,1,1
1,2,74,HR_171,HR_073,n,3,TRUE,FALSE,TRUE,3,3,NA,2021-12-17,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,NA,NA,NA,NA,NA,NA,NA,2022-04-07,3,0,0,3,1,0,0,0,2022-04-07,111,139,2022-04-14,7,1,1,1,0
1,2,75,HR_057,HR_006,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-06,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-07,7,1,0,8,2,7,1,8,2022-04-07,122,139,2022-04-26,19,1,1,1,1
1,2,76,HR_139,HR_062,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-06,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,NA,NA,NA,NA,NA,NA,NA,2022-03-31,3,2,0,5,4,0,0,0,2022-03-31,115,132,2022-04-14,14,1,1,1,0
1,2,77,HR_196,HR_054,n,1,TRUE,FALSE,TRUE,1,1,NA,2021-11-19,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,2022-05-16,2022-04-07,12,0,0,12,1,6,0.5,6,2022-04-07,139,139,2022-04-26,19,1,1,1,1
1,2,78,HR_180,HR_023,n,2,TRUE,FALSE,TRUE,2,2,NA,2021-11-19,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-04-07,3,0,0,3,1,7,2.3333333333333335,7,2022-04-07,139,139,2022-04-20,13,1,1,1,1
1,2,79,HR_195,HR_104,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-06,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-07,7,0,0,7,1,7,1,7,2022-04-07,122,139,2022-04-26,19,1,1,1,1
1,2,80,HR_027,HR_145,R,3,TRUE,TRUE,TRUE,3,"5,6,3",NA,2021-12-06,2021-11-19,NA,NA,NA,NA,2022-04-07,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-07,1,0,0,1,0,0,0,0,2022-04-07,122,139,2022-04-07,0,1,1,1,0
1,2,81,HR_008,HR_012,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-12-17,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-07,7,0,0,7,0,6,0.8571428571428571,6,2022-04-07,111,139,2022-04-26,19,1,1,1,1
